CHANNEL,PLATFORM,WEEK,VIEWS
SBS,NAVER,2019-12-30,9496056
SBS,NAVER,2019-11-04,14438335
SBS,NAVER,2019-11-11,13254766
SBS,NAVER,2019-11-18,9073563
SBS,NAVER,2019-11-25,9759812
SBS,NAVER,2019-12-02,13949851
SBS,NAVER,2019-12-09,14973123
SBS,NAVER,2019-12-16,15666121
SBS,NAVER,2019-12-23,17838985
SBS,NAVER,2020-01-06,13021985
SBS,NAVER,2020-01-13,11614005
SBS,NAVER,2020-01-20,9337931
SBS,NAVER,2020-01-27,14868938
