WEEK,DAYS,TIME,PUT
2020-02-10,수요일,22,20.3 
2020-02-10,수요일,23,16.9 
2020-02-10,목요일,17,9.1 
2020-02-10,목요일,18,10.8 
2020-02-10,목요일,19,14.6 
2020-02-10,목요일,20,18.6 
2020-02-10,목요일,21,20.1 
2020-02-10,목요일,22,21.9 
2020-02-10,목요일,23,19.9 
2020-02-10,금요일,17,7.5 
2020-02-10,금요일,18,10.3 
2020-02-10,금요일,19,14.6 
2020-02-10,금요일,20,18.7 
2020-02-10,금요일,21,20.3 
2020-02-10,금요일,22,24.3 
2020-02-10,금요일,23,21.9 
2020-02-10,토요일,17,14.7 
2020-02-10,토요일,18,17.0 
2020-02-10,토요일,19,19.9 
2020-02-10,토요일,20,23.4 
2020-02-10,토요일,21,25.3 
2020-02-10,토요일,22,26.6 
2020-02-10,토요일,23,24.1 
2020-02-10,일요일,17,18.7 
2020-02-10,일요일,18,20.6 
2020-02-10,일요일,19,24.4 
2020-02-10,일요일,20,26.9 
2020-02-10,일요일,21,30.6 
2020-02-10,일요일,22,31.4 
2020-02-10,일요일,23,23.5 
2020-02-17,월요일,17,8.1 
2020-02-17,월요일,18,10.7 
2020-02-17,월요일,19,15.0 
2020-02-17,월요일,20,17.5 
2020-02-17,월요일,21,19.9 
2020-02-17,월요일,22,20.4 
2020-02-17,월요일,23,16.8 
2020-02-17,화요일,17,8.6 
2020-02-17,화요일,18,11.1 
2020-02-17,화요일,19,16.3 
2020-02-17,화요일,20,20.5 
2020-02-17,화요일,21,21.6 
2020-02-17,화요일,22,20.8 
2020-02-17,화요일,23,16.3 
2020-02-17,수요일,17,8.9 
2020-02-17,수요일,18,10.7 
2020-02-17,수요일,19,14.1 
2020-02-17,수요일,20,17.6 
2020-02-17,수요일,21,19.5 
2020-02-17,수요일,22,18.1 
2020-02-17,수요일,23,16.3 
2020-02-17,목요일,17,6.9 
2020-02-17,목요일,18,9.5 
2020-02-17,목요일,19,14.5 
2020-02-17,목요일,20,18.7 
2020-02-17,목요일,21,19.8 
2020-02-17,목요일,22,21.0 
2020-02-17,목요일,23,19.3 
2020-02-17,금요일,17,8.2 
2020-02-17,금요일,18,10.1 
2020-02-17,금요일,19,15.1 
2020-02-17,금요일,20,19.5 
2020-02-17,금요일,21,21.6 
2020-02-17,금요일,22,21.6 
2020-02-17,금요일,23,21.6 
2020-02-17,토요일,17,16.8 
2020-02-17,토요일,18,18.5 
2020-02-17,토요일,19,21.0 
2020-02-17,토요일,20,24.8 
2020-02-17,토요일,21,26.3 
2020-02-17,토요일,22,25.2 
2020-02-17,토요일,23,23.9 
2020-02-17,일요일,17,18.0 
2020-02-17,일요일,18,21.3 
2020-02-17,일요일,19,24.3 
2020-02-17,일요일,20,26.6 
2020-02-17,일요일,21,27.9 
2020-02-17,일요일,22,25.7 
2020-02-17,일요일,23,21.0 
2020-02-24,월요일,17,10.2 
2020-02-24,월요일,18,12.5 
2020-02-24,월요일,19,16.9 
2020-02-24,월요일,20,20.9 
2020-02-24,월요일,21,22.7 
2020-02-24,월요일,22,22.9 
2020-02-24,월요일,23,19.4 
2020-02-24,화요일,17,10.4 
2020-02-24,화요일,18,12.0 
2020-02-24,화요일,19,16.5 
2020-02-24,화요일,20,20.5 
2020-02-24,화요일,21,22.9 
2020-02-24,화요일,22,23.3 
2020-02-24,화요일,23,18.8 
2020-02-24,수요일,17,10.7 
2020-02-24,수요일,18,12.7 
2020-02-24,수요일,19,16.0 
2020-02-24,수요일,20,20.7 
2020-02-24,수요일,21,22.2 
2020-02-24,수요일,22,19.7 
2020-02-24,수요일,23,16.4 
2020-02-24,목요일,17,10.7 
2020-02-24,목요일,18,14.4 
2020-02-24,목요일,19,17.8 
2020-02-24,목요일,20,22.0 
2020-02-24,목요일,21,23.7 
2020-02-24,목요일,22,23.7 
2020-02-24,목요일,23,21.7 
2020-02-24,금요일,17,12.6 
2020-02-24,금요일,18,14.9 
2020-02-24,금요일,19,19.0 
2020-02-24,금요일,20,22.7 
2020-02-24,금요일,21,24.1 
2020-02-24,금요일,22,24.7 
2020-02-24,금요일,23,23.3 
2020-02-24,토요일,17,17.9 
2020-02-24,토요일,18,20.7 
2020-02-24,토요일,19,25.0 
2020-02-24,토요일,20,27.8 
2020-02-24,토요일,21,28.6 
2020-02-24,토요일,22,28.9 
2020-02-24,토요일,23,26.9 
2020-02-24,일요일,17,23.1 
2020-02-24,일요일,18,24.6 
2020-02-24,일요일,19,25.9 
2020-02-24,일요일,20,29.0 
2020-02-24,일요일,21,28.3 
2020-02-24,일요일,22,27.3 
2020-02-24,일요일,23,22.5 
