CHANNEL,PLATFORM,MONTH,VIEWS
JTBC,NAVER,2019-06-01,35611655
JTBC,NAVER,2019-07-01,44931628
JTBC,NAVER,2019-08-01,61536991
JTBC,NAVER,2019-09-01,54683962
JTBC,NAVER,2019-10-01,37171164
JTBC,NAVER,2019-11-01,26524349
JTBC,NAVER,2019-12-01,28032509
JTBC,YOUTUBE,2019-12-01,7163778
JTBC Plus,KAKAO,2019-01-01,2663
JTBC Plus,KAKAO,2019-02-01,1383
JTBC Plus,KAKAO,2019-03-01,1345
JTBC Plus,KAKAO,2019-04-01,1083
JTBC Plus,KAKAO,2019-05-01,1707
JTBC Plus,KAKAO,2019-06-01,660
JTBC Plus,KAKAO,2019-07-01,690
JTBC Plus,KAKAO,2019-08-01,1120
JTBC Plus,KAKAO,2019-09-01,578
JTBC Plus,KAKAO,2019-10-01,551
JTBC Plus,KAKAO,2019-11-01,479
JTBC Plus,KAKAO,2019-12-01,514
JTBC Plus,NAVER,2019-01-01,98955
JTBC Plus,NAVER,2019-02-01,36776
JTBC Plus,NAVER,2019-03-01,25179
JTBC Plus,NAVER,2019-04-01,21704
JTBC Plus,NAVER,2019-05-01,28207
JTBC Plus,NAVER,2019-06-01,17169
JTBC Plus,NAVER,2019-07-01,15463
JTBC Plus,NAVER,2019-08-01,20366
JTBC Plus,NAVER,2019-09-01,14095
JTBC Plus,NAVER,2019-10-01,12337
JTBC Plus,NAVER,2019-11-01,8841
JTBC Plus,NAVER,2019-12-01,9496
JTBC2,KAKAO,2019-01-01,22474
JTBC2,KAKAO,2019-02-01,28819
JTBC2,KAKAO,2019-03-01,9285
JTBC2,KAKAO,2019-04-01,4314
JTBC2,KAKAO,2019-05-01,6485
JTBC2,KAKAO,2019-06-01,1188361
JTBC2,KAKAO,2019-07-01,722594
JTBC2,KAKAO,2019-08-01,901576
JTBC2,KAKAO,2019-09-01,220663
JTBC2,KAKAO,2019-10-01,511651
JTBC2,KAKAO,2019-11-01,41372
JTBC2,KAKAO,2019-12-01,111417
JTBC2,NAVER,2019-01-01,92764
JTBC2,NAVER,2019-02-01,62342
JTBC2,NAVER,2019-03-01,34428
JTBC2,NAVER,2019-04-01,7246
JTBC2,NAVER,2019-05-01,7784
JTBC2,NAVER,2019-06-01,1003711
JTBC2,NAVER,2019-07-01,759451
JTBC2,NAVER,2019-08-01,852452
JTBC2,NAVER,2019-09-01,786105
JTBC2,NAVER,2019-10-01,3368930
JTBC2,NAVER,2019-11-01,593255
JTBC2,NAVER,2019-12-01,427792
JTBC2,YOUTUBE,2019-12-01,5131
JTBC4,KAKAO,2019-01-01,3582
JTBC4,KAKAO,2019-02-01,14180
JTBC4,KAKAO,2019-03-01,59132
JTBC4,KAKAO,2019-04-01,29708
JTBC4,KAKAO,2019-05-01,51835
JTBC4,KAKAO,2019-06-01,4015
JTBC4,KAKAO,2019-07-01,8985
JTBC4,KAKAO,2019-08-01,6179
JTBC4,KAKAO,2019-09-01,779
JTBC4,KAKAO,2019-10-01,3606
JTBC4,KAKAO,2019-11-01,2476
JTBC4,KAKAO,2019-12-01,3734
JTBC4,NAVER,2019-01-01,455370
JTBC4,NAVER,2019-02-01,156422
JTBC4,NAVER,2019-03-01,182252
JTBC4,NAVER,2019-04-01,100704
JTBC4,NAVER,2019-05-01,41361
JTBC4,NAVER,2019-06-01,34002
JTBC4,NAVER,2019-07-01,24833
JTBC4,NAVER,2019-08-01,20358
JTBC4,NAVER,2019-09-01,17921
JTBC4,NAVER,2019-10-01,17381
JTBC4,NAVER,2019-11-01,55603
JTBC4,NAVER,2019-12-01,17262
KBS 1,KAKAO,2019-01-01,918939
KBS 1,KAKAO,2019-02-01,1121305
KBS 1,KAKAO,2019-03-01,969321
KBS 1,KAKAO,2019-04-01,823528
KBS 1,KAKAO,2019-05-01,800163
KBS 1,KAKAO,2019-06-01,837574
KBS 1,KAKAO,2019-07-01,1709510
KBS 1,KAKAO,2019-08-01,1903249
KBS 1,KAKAO,2019-09-01,2063130
KBS 1,KAKAO,2019-10-01,1738371
KBS 1,KAKAO,2019-11-01,668495
KBS 1,KAKAO,2019-12-01,666918
KBS 1,NAVER,2019-01-01,4388341
KBS 1,NAVER,2019-02-01,3926999
KBS 1,NAVER,2019-03-01,4439944
KBS 1,NAVER,2019-04-01,3620347
KBS 1,NAVER,2019-05-01,2538874
KBS 1,NAVER,2019-06-01,3021445
KBS 1,NAVER,2019-07-01,4840806
KBS 1,NAVER,2019-08-01,6753705
KBS 1,NAVER,2019-09-01,7128252
KBS 1,NAVER,2019-10-01,6529368
KBS 1,NAVER,2019-11-01,2686819
KBS 1,NAVER,2019-12-01,2812359
KBS 1,YOUTUBE,2019-12-01,109919
KBS 2,KAKAO,2019-01-01,15186676
KBS 2,KAKAO,2019-02-01,12221891
KBS 2,KAKAO,2019-03-01,20539981
KBS 2,KAKAO,2019-04-01,17189235
KBS 2,KAKAO,2019-05-01,16937363
KBS 2,KAKAO,2019-06-01,15013689
KBS 2,KAKAO,2019-07-01,16863286
KBS 2,KAKAO,2019-08-01,15124811
KBS 2,KAKAO,2019-09-01,17304336
KBS 2,KAKAO,2019-10-01,16507513
KBS 2,KAKAO,2019-11-01,18789304
KBS 2,KAKAO,2019-12-01,16798965
KBS 2,NAVER,2019-01-01,61448927
KBS 2,NAVER,2019-02-01,55064335
KBS 2,NAVER,2019-03-01,74031566
