WEEK_NUM,WEEK,PROGRAM,CH,KAKAO,NAVER,YOUTUBE
8,8주차(2020/02/17~2020/02/23),끼리끼리,MBC,20371,105001,156425
8,8주차(2020/02/17~2020/02/23),본격연예 한밤,SBS,159439,60589,55938
8,8주차(2020/02/17~2020/02/23),투유 프로젝트 - 슈가맨,JTBC,11984,261742,
8,8주차(2020/02/17~2020/02/23),대한외국인,MBC PLUS,219472,38401,10518
8,8주차(2020/02/17~2020/02/23),돈길만 걸어요 - 정산회담,JTBC,246341,15348,5299
8,8주차(2020/02/17~2020/02/23),신비한 TV 서프라이즈,MBC,5110,5242,252781
8,8주차(2020/02/17~2020/02/23),씨름의 희열,KBS 2,101051,123982,31586
8,8주차(2020/02/17~2020/02/23),대탈출3,tvN,1685,37377,209822
8,8주차(2020/02/17~2020/02/23),현장르포 특종세상,MBN,46390,9279,193207
8,8주차(2020/02/17~2020/02/23),영재 발굴단,SBS,3471,70422,174495
8,8주차(2020/02/17~2020/02/23),더게임:0시를 향하여,MBC,31117,207951,7605
8,8주차(2020/02/17~2020/02/23),2020 AFC 챔피언스리그,JTBC,238653,6,
8,8주차(2020/02/17~2020/02/23),슬기로운 의사생활,tvN,63300,88671,85394
8,8주차(2020/02/17~2020/02/23),밥은 먹고 다니냐?,SBS Plus,85672,151214,
8,8주차(2020/02/17~2020/02/23),나쁜사랑,MBC,33776,188512,14071
8,8주차(2020/02/17~2020/02/23),두 번은 없다,MBC,27219,186950,20241
8,8주차(2020/02/17~2020/02/23),구해줘! 홈즈,MBC,75560,82389,76132
8,8주차(2020/02/17~2020/02/23),엑스엑스(XX),MBC,8782,26382,195600
8,8주차(2020/02/17~2020/02/23),옛능TV : MBC 옛날 예능 다시보기,MBC,204,15427,209652
8,8주차(2020/02/17~2020/02/23),2019-20 프랑스 리그1,SBS,222831,2,
8,8주차(2020/02/17~2020/02/23),날씨가 좋으면 찾아가겠어요,JTBC,18057,75319,127189
8,8주차(2020/02/17~2020/02/23),트로트 퀸,MBN,67718,57498,90207
8,8주차(2020/02/17~2020/02/23),MLB 핫클립,MBC PLUS,137288,69870,1791
8,8주차(2020/02/17~2020/02/23),개그 콘서트,KBS 2,10213,43381,153601
8,8주차(2020/02/17~2020/02/23),신서유기 7,tvN,605,7160,197851
8,8주차(2020/02/17~2020/02/23),tvN 음악동창회 ＜좋은가요＞,tvN,2071,11089,177433
8,8주차(2020/02/17~2020/02/23),아침마당,KBS 1,7444,52161,128247
8,8주차(2020/02/17~2020/02/23),MBC스페셜,MBC,10212,14656,159546
8,8주차(2020/02/17~2020/02/23),이제 만나러 갑니다,채널A,8175,23094,149532
8,8주차(2020/02/17~2020/02/23),풍문으로 들었쇼,채널A,83788,14007,80452
8,8주차(2020/02/17~2020/02/23),가요무대,KBS 1,13880,119578,43589
8,8주차(2020/02/17~2020/02/23),더 짠내투어,tvN,7421,47902,120587
8,8주차(2020/02/17~2020/02/23),좋은아침,SBS,144046,22334,
8,8주차(2020/02/17~2020/02/23),구해줘,OCN,913,160125,
8,8주차(2020/02/17~2020/02/23),문제적 남자 : 브레인 유랑단,tvN,2425,19893,136656
8,8주차(2020/02/17~2020/02/23),생방송 투데이,SBS,98032,15077,43471
8,8주차(2020/02/17~2020/02/23),2020 설특집 아이돌스타 선수권대회,MBC,589,21800,132160
8,8주차(2020/02/17~2020/02/23),스톡킹,MBC PLUS,140,21397,123067
8,8주차(2020/02/17~2020/02/23),복면가왕 스페셜,MBC,12537,128960,
8,8주차(2020/02/17~2020/02/23),김비서가 왜 그럴까,tvN,8085,132134,
8,8주차(2020/02/17~2020/02/23),2019 KBS 가요대축제,KBS 2,573,14137,124699
8,8주차(2020/02/17~2020/02/23),TV 동물농장,SBS,103582,30803,4927
8,8주차(2020/02/17~2020/02/23),ISU 스피드스케이팅,SBS Sports,58770,79535,
8,8주차(2020/02/17~2020/02/23),위대한 유혹자,MBC,2108,135540,
8,8주차(2020/02/17~2020/02/23),연애공식 구하리,투니버스,160,228,135863
8,8주차(2020/02/17~2020/02/23),미스트롯,TV CHOSUN,9873,125786,
8,8주차(2020/02/17~2020/02/23),투유 프로젝트 - 슈가맨2,JTBC,7177,128045,
8,8주차(2020/02/17~2020/02/23),비긴어게인3,JTBC,16485,117430,
8,8주차(2020/02/17~2020/02/23),끝까지 간다,TV CHOSUN,266,4445,129150
8,8주차(2020/02/17~2020/02/23),라끼남,O’live,106331,23284,862
8,8주차(2020/02/17~2020/02/23),자연스럽게,MBN,69942,35071,24076
8,8주차(2020/02/17~2020/02/23),Show Champion,MBC PLUS,3434,113716,11881
8,8주차(2020/02/17~2020/02/23),속풀이쇼 동치미,MBN,4868,56946,66092
8,8주차(2020/02/17~2020/02/23),2019 MBC 가요대제전,MBC,298,15592,111139
8,8주차(2020/02/17~2020/02/23),더 쇼 (THE SHOW),SBS MTV,5515,120858,
8,8주차(2020/02/17~2020/02/23),낭만닥터 김사부,SBS,4252,121575,
8,8주차(2020/02/17~2020/02/23),뉴스 트레인,OBS,14888,110386,
8,8주차(2020/02/17~2020/02/23),2019-20 분데스리가,JTBC,121583,1,
8,8주차(2020/02/17~2020/02/23),제보자들,KBS 2,584,3004,116425
8,8주차(2020/02/17~2020/02/23),나는 몸신이다,채널A,4782,38518,75560
8,8주차(2020/02/17~2020/02/23),날아라 슛돌이 - 뉴 비기닝,KBS 2,4472,35972,75978
